host_is_superhost,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,price
0,0,Apartment,Entire home/apt,6,1,2,3,Real Bed,62,78,8,9,9,9,8,moderate,200
0,0,House,Private room,1,1,1,1,Real Bed,11,85,8,8,8,8,9,flexible,37
0,0,House,Private room,1,1,1,1,Real Bed,23,90,9,9,9,8,9,moderate,40
1,0,House,Entire home/apt,2,1,1,1,Real Bed,332,96,9,10,10,10,9,strict,140
0,1,House,Entire home/apt,10,1,5,5,Real Bed,122,95,9,10,10,9,10,moderate,200
0,0,House,Private room,6,1,1,6,Real Bed,17,100,,,,,,flexible,145
0,1,Apartment,Entire home/apt,5,1,2,3,Real Bed,218,91,9,10,10,9,9,strict,135
0,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,19,99,10,9,10,10,10,strict,70
0,1,House,Private room,2,1,1,1,Real Bed,87,96,10,10,10,10,10,strict,27
0,1,Apartment,Entire home/apt,3,1,1,2,Real Bed,64,96,10,10,10,10,9,strict,179
0,1,Apartment,Entire home/apt,7,1,2,3,Real Bed,29,97,9,10,10,9,10,strict,99
0,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,20,70,6,9,9,9,7,strict,85
0,0,House,Entire home/apt,8,2.5,5,4,Real Bed,22,98,10,10,10,10,10,flexible,190
1,0,House,Entire home/apt,6,2.5,3,3,Real Bed,174,98,10,10,10,10,10,strict,210
1,1,House,Private room,2,1,1,1,Real Bed,239,99,10,10,10,9,10,strict,34
1,0,Apartment,Private room,2,1,1,1,Real Bed,18,99,9,10,10,10,9,strict,30
0,1,Apartment,Entire home/apt,13,2,4,10,Real Bed,158,98,8,10,10,9,9,strict,400
1,1,Apartment,Entire home/apt,2,1,1,1,Real Bed,83,98,10,10,10,10,10,moderate,70
1,1,Apartment,Entire home/apt,2,1,1,1,Real Bed,83,99,10,10,10,10,10,moderate,140
0,1,House,Private room,3,1,1,3,Real Bed,33,88,10,9,9,9,9,strict,40
0,1,Apartment,Entire home/apt,3,1,1,1,Real Bed,10,98,10,10,10,9,9,moderate,80
0,1,House,Private room,2,1,1,1,Real Bed,301,93,9,10,10,9,10,strict,26
0,1,Apartment,Entire home/apt,4,1,2,2,Real Bed,49,94,9,10,10,10,9,strict,160
0,1,House,Private room,1,1.5,1,1,Real Bed,76,91,9,10,10,9,9,moderate,32
0,1,Apartment,Private room,2,1.5,1,1,Real Bed,390,95,9,10,10,9,10,strict,53
1,1,House,Private room,3,1,1,1,Real Bed,33,92,9,10,10,10,9,flexible,80
1,1,House,Private room,1,1,1,1,Real Bed,92,96,10,10,10,9,10,strict,29
0,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,26,98,10,10,10,10,9,strict,140
1,1,Apartment,Private room,2,1,1,1,Real Bed,266,95,10,10,10,10,10,strict,99
0,0,Apartment,Private room,1,1.5,1,0,Real Bed,10,94,9,10,10,10,9,strict,58
